epoch,batch_size,embedding_dim,hidden_dim,activate_func,optimizer,learning_rate,l2_regular,dropout_rate,accuracy,precision,recall,f1,auc
200,64.0,200.0,100.0,tanh,adam,0.001,0.001,0.5,0.9539933750460068,0.8011869436201781,0.8231707317073171,0.8120300751879699,0.8975627622538259
300,64.0,200.0,100.0,tanh,adam,0.001,0.001,0.5,0.9521531100478468,0.7861271676300579,0.8292682926829268,0.8071216617210683,0.8991464946043349
200,64.0,200.0,100.0,tanh,sgd,0.1,0.0,0.5,0.9558336400441664,0.8151515151515152,0.8201219512195121,0.817629179331307,0.8972941275561771
300,64.0,200.0,100.0,tanh,sgd,0.1,0.0,0.5,0.9554655870445344,0.8126888217522659,0.8201219512195121,0.8163884673748103,0.8970848349651349
200,64.0,200.0,100.0,tanh,sgd,0.1,0.001,0.5,0.9565697460434304,0.8220858895705522,0.8170731707317073,0.8195718654434251,0.8963976150854016
300,64.0,200.0,100.0,tanh,sgd,0.1,0.001,0.5,0.9613544350386456,0.8655737704918033,0.8048780487804879,0.8341232227488151,0.8938580281575106
200,64.0,200.0,100.0,tanh,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,100.0,tanh,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,100.0,tanh,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,100.0,tanh,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,100.0,relu,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,100.0,relu,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,100.0,relu,adam,0.1,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,100.0,relu,adam,0.1,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,100.0,relu,adam,0.001,0.0,0.5,0.9536253220463746,0.8344370860927153,0.7682926829268293,0.8,0.8736817119113008
300,64.0,200.0,100.0,relu,adam,0.001,0.0,0.5,0.9562016930437984,0.8360128617363344,0.7926829268292683,0.8137715179968701,0.8856675412714781
200,64.0,200.0,100.0,relu,adam,0.001,0.001,0.5,0.9455281560544718,0.734375,0.8597560975609756,0.7921348314606742,0.9085302044941757
300,64.0,200.0,100.0,relu,adam,0.001,0.001,0.5,0.9499447920500552,0.7742857142857142,0.8262195121951219,0.7994100294985249,0.8965756414052211
200,64.0,200.0,100.0,relu,sgd,0.1,0.0,0.5,0.9525211630474788,0.8024316109422492,0.8048780487804879,0.8036529680365296,0.888835005972496
300,64.0,200.0,100.0,relu,sgd,0.1,0.0,0.5,0.9525211630474788,0.8061538461538461,0.7987804878048781,0.8024502297090352,0.8862048106667756
200,64.0,200.0,100.0,relu,sgd,0.1,0.001,0.5,0.9495767390504232,0.7920489296636085,0.7896341463414634,0.7908396946564885,0.8805851769798569
300,64.0,200.0,100.0,relu,sgd,0.1,0.001,0.5,0.9609863820390137,0.875,0.7896341463414634,0.8301282051282052,0.8870732473021675
200,64.0,200.0,100.0,relu,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,100.0,relu,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,100.0,relu,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,100.0,relu,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,200.0,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,200.0,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,200.0,tanh,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,200.0,tanh,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,200.0,tanh,adam,0.001,0.0,0.0,0.9558336400441664,0.8513513513513513,0.7682926829268293,0.8076923076923077,0.8749374674575544
300,64.0,200.0,200.0,tanh,adam,0.001,0.0,0.0,0.9562016930437984,0.8518518518518519,0.7713414634146342,0.8096,0.8764618577014569
200,64.0,200.0,200.0,tanh,adam,0.001,0.001,0.0,0.94516010305484,0.7507002801120448,0.8170731707317073,0.7824817518248175,0.8899095447630909
300,64.0,200.0,200.0,tanh,adam,0.001,0.001,0.0,0.9429517850570482,0.7993079584775087,0.7042682926829268,0.7487844408427877,0.8399951760610114
200,64.0,200.0,200.0,tanh,sgd,0.1,0.0,0.0,0.9517850570482148,0.8049535603715171,0.7926829268292683,0.7987711213517665,0.8831560301789707
300,64.0,200.0,200.0,tanh,sgd,0.1,0.0,0.0,0.9521531100478468,0.8074534161490683,0.7926829268292683,0.8,0.8833653227700131
200,64.0,200.0,200.0,tanh,sgd,0.1,0.001,0.0,0.9455281560544718,0.875,0.6402439024390244,0.7394366197183099,0.8138431734882439
300,64.0,200.0,200.0,tanh,sgd,0.1,0.001,0.0,0.9359587780640412,0.7162921348314607,0.7774390243902439,0.7456140350877193,0.867580960499852
200,64.0,200.0,200.0,tanh,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,200.0,tanh,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,200.0,tanh,sgd,0.001,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,200.0,tanh,sgd,0.001,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,200.0,relu,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,200.0,relu,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,200.0,relu,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,200.0,relu,adam,0.1,0.001,0.0,0.9466323150533676,0.9216589861751152,0.6097560975609756,0.7339449541284404,0.8013200747327691
200,64.0,200.0,200.0,relu,adam,0.001,0.0,0.0,0.9514170040485832,0.80625,0.7865853658536586,0.7962962962962963,0.8803165422822081
300,64.0,200.0,200.0,relu,adam,0.001,0.0,0.0,0.9514170040485832,0.8081761006289309,0.7835365853658537,0.7956656346749226,0.8790014446293479
200,64.0,200.0,200.0,relu,adam,0.001,0.001,0.0,0.9425837320574164,0.7704402515723271,0.7469512195121951,0.7585139318885449,0.8581972506100114
300,64.0,200.0,200.0,relu,adam,0.001,0.001,0.0,0.9400073610599926,0.7350427350427351,0.7865853658536586,0.7599410898379971,0.8738284719598975
200,64.0,200.0,200.0,relu,sgd,0.1,0.0,0.0,0.9532572690467428,0.8092307692307692,0.8018292682926829,0.8055130168453293,0.8879384935017203
300,64.0,200.0,200.0,relu,sgd,0.1,0.0,0.0,0.9528892160471109,0.8067484662576687,0.8018292682926829,0.8042813455657493,0.8877292009106779
200,64.0,200.0,200.0,relu,sgd,0.1,0.001,0.0,0.9470003680529996,0.7584269662921348,0.8231707317073171,0.7894736842105263,0.8935862030240228
300,64.0,200.0,200.0,relu,sgd,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,200.0,relu,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,200.0,relu,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,200.0,relu,sgd,0.001,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,200.0,relu,sgd,0.001,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,200.0,tanh,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,200.0,tanh,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,200.0,tanh,adam,0.1,0.001,0.5,0.1207213838792786,0.1207213838792786,1.0,0.21543513957307064,0.5
300,64.0,200.0,200.0,tanh,adam,0.1,0.001,0.5,0.1207213838792786,0.1207213838792786,1.0,0.21543513957307064,0.5
200,64.0,200.0,200.0,tanh,adam,0.001,0.0,0.5,0.9609863820390137,0.87,0.7957317073170732,0.8312101910828026,0.8897034426078877
300,64.0,200.0,200.0,tanh,adam,0.001,0.0,0.5,0.9606183290393816,0.867109634551495,0.7957317073170732,0.8298887122416534,0.8894941500168455
200,64.0,200.0,200.0,tanh,adam,0.001,0.001,0.5,0.9418476260581524,0.8148148148148148,0.6707317073170732,0.7357859531772575,0.8249012241064227
300,64.0,200.0,200.0,tanh,adam,0.001,0.001,0.5,0.9326463010673536,0.7138643067846607,0.7378048780487805,0.7256371814092953,0.8486010576932894
200,64.0,200.0,200.0,tanh,sgd,0.1,0.0,0.5,0.9521531100478468,0.8055555555555556,0.7957317073170732,0.8006134969325154,0.8846804204228731
300,64.0,200.0,200.0,tanh,sgd,0.1,0.0,0.5,0.9517850570482148,0.8049535603715171,0.7926829268292683,0.7987711213517665,0.8831560301789707
200,64.0,200.0,200.0,tanh,sgd,0.1,0.001,0.5,0.9455281560544718,0.7571428571428571,0.8079268292682927,0.7817109144542773,0.8861735443955527
300,64.0,200.0,200.0,tanh,sgd,0.1,0.001,0.5,0.9554655870445344,0.8165137614678899,0.8140243902439024,0.815267175572519,0.8944546396594145
200,64.0,200.0,200.0,tanh,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,200.0,tanh,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,200.0,tanh,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,200.0,tanh,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,200.0,relu,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,200.0,relu,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,200.0,relu,adam,0.1,0.001,0.5,0.8789105631210894,0.3333333333333333,0.003048780487804878,0.006042296072507553,0.5011058050618179
300,64.0,200.0,200.0,relu,adam,0.1,0.001,0.5,0.8763341921236658,0.21428571428571427,0.009146341463414634,0.017543859649122806,0.5022709522302423
200,64.0,200.0,200.0,relu,adam,0.001,0.0,0.5,0.9558336400441664,0.8586206896551725,0.7591463414634146,0.8058252427184466,0.870992174498974
300,64.0,200.0,200.0,relu,adam,0.001,0.0,0.5,0.9569377990430622,0.8727915194346291,0.7530487804878049,0.8085106382978723,0.8689898569663805
200,64.0,200.0,200.0,relu,adam,0.001,0.001,0.5,0.9403754140596244,0.7677419354838709,0.725609756097561,0.7460815047021944,0.8477358114937366
300,64.0,200.0,200.0,relu,adam,0.001,0.001,0.5,0.9392712550607288,0.7308781869688386,0.7865853658536586,0.7577092511013216,0.873409886777813
200,64.0,200.0,200.0,relu,sgd,0.1,0.0,0.5,0.9506808980493192,0.7904191616766467,0.8048780487804879,0.7975830815709971,0.8877885430172846
300,64.0,200.0,200.0,relu,sgd,0.1,0.0,0.5,0.9495767390504232,0.7850746268656716,0.8018292682926829,0.7933634992458521,0.8858455675912974
200,64.0,200.0,200.0,relu,sgd,0.1,0.001,0.5,0.9532572690467428,0.8190476190476189,0.7865853658536586,0.8024883359253501,0.8813630052374195
300,64.0,200.0,200.0,relu,sgd,0.1,0.001,0.5,0.9543614280456386,0.8290322580645161,0.7835365853658537,0.8056426332288401,0.8806757853576862
200,64.0,200.0,200.0,relu,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,200.0,relu,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,200.0,relu,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,200.0,relu,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,300.0,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,300.0,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,300.0,tanh,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,300.0,tanh,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,300.0,tanh,adam,0.001,0.0,0.0,0.9521531100478468,0.8173076923076923,0.7774390243902439,0.796875,0.8767898345057122
300,64.0,200.0,300.0,tanh,adam,0.001,0.0,0.0,0.9521531100478468,0.8173076923076923,0.7774390243902439,0.796875,0.8767898345057122
200,64.0,200.0,300.0,tanh,adam,0.001,0.001,0.0,0.9539933750460068,0.7891737891737892,0.8445121951219512,0.8159057437407953,0.9067684458238472
300,64.0,200.0,300.0,tanh,adam,0.001,0.001,0.0,0.9517850570482148,0.8012232415902141,0.7987804878048781,0.8,0.8857862254846911
200,64.0,200.0,300.0,tanh,sgd,0.1,0.0,0.0,0.9521531100478468,0.8113207547169812,0.7865853658536586,0.7987616099071208,0.8807351274642927
300,64.0,200.0,300.0,tanh,sgd,0.1,0.0,0.0,0.9525211630474788,0.8138801261829653,0.7865853658536586,0.8,0.8809444200553349
200,64.0,200.0,300.0,tanh,sgd,0.1,0.001,0.0,0.8984173721015827,0.6733333333333333,0.3079268292682927,0.4225941422594142,0.6437080776730748
300,64.0,200.0,300.0,tanh,sgd,0.1,0.001,0.0,0.9337504600662496,0.6897435897435897,0.8201219512195121,0.7493036211699164,0.8847365720936405
200,64.0,200.0,300.0,tanh,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,300.0,tanh,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,300.0,tanh,sgd,0.001,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,300.0,tanh,sgd,0.001,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,300.0,relu,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,300.0,relu,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,300.0,relu,adam,0.1,0.001,0.0,0.9473684210526316,0.8714859437751004,0.6615853658536586,0.7521663778162911,0.8240953200134764
300,64.0,200.0,300.0,relu,adam,0.1,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,300.0,relu,adam,0.001,0.0,0.0,0.9506808980493192,0.8089171974522293,0.774390243902439,0.7912772585669782,0.874637566488683
300,64.0,200.0,300.0,relu,adam,0.001,0.0,0.0,0.9506808980493192,0.8129032258064516,0.7682926829268293,0.7899686520376176,0.8720073711829626
200,64.0,200.0,300.0,relu,adam,0.001,0.001,0.0,0.9565697460434304,0.8322784810126582,0.8018292682926829,0.8167701863354038,0.8898221268211007
300,64.0,200.0,300.0,relu,adam,0.001,0.001,0.0,0.9547294810452706,0.8274760383386581,0.7896341463414634,0.8081123244929798,0.8835152732544488
200,64.0,200.0,300.0,relu,sgd,0.1,0.0,0.0,0.9528892160471109,0.8144654088050315,0.7896341463414634,0.8018575851393189,0.8824688102992373
300,64.0,200.0,300.0,relu,sgd,0.1,0.0,0.0,0.9514170040485832,0.8081761006289309,0.7835365853658537,0.7956656346749226,0.8790014446293479
200,64.0,200.0,300.0,relu,sgd,0.1,0.001,0.0,0.9414795730585204,0.7393767705382436,0.7957317073170732,0.7665198237885462,0.8786109352826472
300,64.0,200.0,300.0,relu,sgd,0.1,0.001,0.0,0.9525211630474788,0.7818696883852692,0.8414634146341463,0.8105726872246696,0.9046161778068178
200,64.0,200.0,300.0,relu,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,300.0,relu,sgd,0.001,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,300.0,relu,sgd,0.001,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,300.0,relu,sgd,0.001,0.001,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,300.0,tanh,adam,0.1,0.0,0.5,0.1207213838792786,0.1207213838792786,1.0,0.21543513957307064,0.5
300,64.0,200.0,300.0,tanh,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,300.0,tanh,adam,0.1,0.001,0.5,0.9297018770702982,0.7866108786610879,0.573170731707317,0.6631393298059964,0.7759114437105025
300,64.0,200.0,300.0,tanh,adam,0.1,0.001,0.5,0.1207213838792786,0.1207213838792786,1.0,0.21543513957307064,0.5
200,64.0,200.0,300.0,tanh,adam,0.001,0.0,0.5,0.9532572690467428,0.8316831683168316,0.7682926829268293,0.7987321711568938,0.8734724193202584
300,64.0,200.0,300.0,tanh,adam,0.001,0.0,0.5,0.9532572690467428,0.8316831683168316,0.7682926829268293,0.7987321711568938,0.8734724193202584
200,64.0,200.0,300.0,tanh,adam,0.001,0.001,0.5,0.9536253220463746,0.8366666666666667,0.7652439024390244,0.7993630573248408,0.8723666142584406
300,64.0,200.0,300.0,tanh,adam,0.001,0.001,0.5,0.951048951048951,0.7963525835866262,0.7987804878048781,0.7975646879756468,0.8853676403026066
200,64.0,200.0,300.0,tanh,sgd,0.1,0.0,0.5,0.9514170040485832,0.80625,0.7865853658536586,0.7962962962962963,0.8803165422822081
300,64.0,200.0,300.0,tanh,sgd,0.1,0.0,0.5,0.9514170040485832,0.80625,0.7865853658536586,0.7962962962962963,0.8803165422822081
200,64.0,200.0,300.0,tanh,sgd,0.1,0.001,0.5,0.9503128450496872,0.8143322475570033,0.7621951219512195,0.7874015748031497,0.8691678832862
300,64.0,200.0,300.0,tanh,sgd,0.1,0.001,0.5,0.9359587780640412,0.6807511737089202,0.8841463414634146,0.7692307692307693,0.9136093783499576
200,64.0,200.0,300.0,tanh,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,300.0,tanh,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,300.0,tanh,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,300.0,tanh,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,300.0,relu,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,300.0,relu,adam,0.1,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,300.0,relu,adam,0.1,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,300.0,relu,adam,0.1,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,300.0,relu,adam,0.001,0.0,0.5,0.95841001104159,0.8668941979522184,0.774390243902439,0.8180354267310789,0.8790327109005708
300,64.0,200.0,300.0,relu,adam,0.001,0.0,0.5,0.9558336400441664,0.8611111111111112,0.7560975609756098,0.8051948051948052,0.8696770768461138
200,64.0,200.0,300.0,relu,adam,0.001,0.001,0.5,0.9503128450496872,0.7915407854984894,0.7987804878048781,0.7951441578148709,0.8849490551205219
300,64.0,200.0,300.0,relu,adam,0.001,0.001,0.5,0.9503128450496872,0.7880597014925373,0.8048780487804879,0.7963800904977375,0.8875792504262422
200,64.0,200.0,300.0,relu,sgd,0.1,0.0,0.5,0.9521531100478468,0.809375,0.7896341463414634,0.7993827160493827,0.8820502251171528
300,64.0,200.0,300.0,relu,sgd,0.1,0.0,0.5,0.9506808980493192,0.8012422360248447,0.7865853658536586,0.7938461538461539,0.8798979571001235
200,64.0,200.0,300.0,relu,sgd,0.1,0.001,0.5,0.9466323150533676,0.7667638483965015,0.8018292682926829,0.7839046199701938,0.8841712268629592
300,64.0,200.0,300.0,relu,sgd,0.1,0.001,0.5,0.8807508281192492,0.5034602076124568,0.8871951219512195,0.6423841059602649,0.8835305873464763
200,64.0,200.0,300.0,relu,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,300.0,relu,sgd,0.001,0.0,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,200.0,300.0,relu,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,200.0,300.0,relu,sgd,0.001,0.001,0.5,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,300.0,100.0,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
300,64.0,300.0,100.0,tanh,adam,0.1,0.0,0.0,0.8792786161207213,0.0,0.0,0.0,0.5
200,64.0,300.0,100.0,tanh,adam,0.1,0.001,0.0,0.8741258741258742,0.2307692307692308,0.018292682926829267,0.03389830508474576,0.5049604896425691
300,64.0,300.0,100.0,tanh,adam,0.1,0.001,0.0,0.9403754140596244,0.8952380952380953,0.573170731707317,0.6988847583643123,0.7819809288507285
200,64.0,300.0,100.0,tanh,adam,0.001,0.0,0.0,0.958778064041222,0.8576158940397351,0.7896341463414634,0.8222222222222222,0.8858174917559138
300,64.0,300.0,100.0,tanh,adam,0.001,0.0,0.0,0.958778064041222,0.8552631578947368,0.7926829268292683,0.8227848101265823,0.8871325894087739
200,64.0,300.0,100.0,tanh,adam,0.001,0.001,0.0,0.9470003680529996,0.8087248322147651,0.7347560975609756,0.7699680511182109,0.8554483710910781
300,64.0,300.0,100.0,tanh,adam,0.001,0.001,0.0,0.9341185130658816,0.7614035087719299,0.6615853658536586,0.7079934747145188,0.8165607867359544
200,64.0,300.0,100.0,tanh,sgd,0.1,0.0,0.0,0.9532572690467428,0.8073394495412844,0.8048780487804879,0.8061068702290076,0.8892535911545806
